code,name,amount,pct,,,,
000513.SZ,丽珠集团,5.6695,4.4947,,,,
688247.SH,宣泰医药,0.6433,4.4603,,,,
600379.SH,宝光股份,1.2686,4.4273,,,,
300712.SZ,永福股份,3.4990,4.4223,,,,
688050.SH,爱博医疗,3.5551,4.4212,,,,
300274.SZ,阳光电源,36.8473,4.4081,,,,
002648.SZ,卫星化学,6.8937,4.4043,,,,
688177.SH,百奥泰,0.1848,4.4041,,,,
600973.SH,宝胜股份,2.1348,4.3893,,,,
300430.SZ,诚益通,1.7882,4.3846,,,,
002492.SZ,恒基达鑫,0.9864,4.3796,,,,
002455.SZ,百川股份,2.3725,4.3762,,,,
600160.SH,巨化股份,4.8092,4.3568,,,,
688156.SH,路德环境,0.4096,4.3548,,,,
600566.SH,济川药业,5.7242,4.3447,,,,
688356.SH,键凯科技,3.0719,4.3370,,,,
603507.SH,振江股份,3.9376,4.3307,,,,
002019.SZ,亿帆医药,2.7161,4.3282,,,,
300705.SZ,九典制药,2.0807,4.3265,,,,
300356.SZ,*ST光一,0.4801,4.3243,,,,
600426.SH,华鲁恒升,7.5218,4.3175,,,,
301075.SZ,多瑞医药,0.2351,4.3137,,,,
603606.SH,东方电缆,7.0522,4.2937,,,,
300105.SZ,龙源技术,1.4184,4.2654,,,,
002585.SZ,双星新材,7.4845,4.2623,,,,
839680.BJ,广道数字,0.0608,4.2318,,,,
002785.SZ,万里石,1.4699,4.2139,,,,
000012.SZ,南玻A,7.7057,4.1968,,,,
300438.SZ,鹏辉能源,12.4031,4.1872,,,,
688382.SH,益方生物-U,0.6007,4.1848,,,,
600992.SH,贵绳股份,6.3027,4.1757,,,,
300982.SZ,苏文电能,1.2377,4.1750,,,,
603810.SH,丰山集团,1.7512,4.1640,,,,
688093.SH,世华科技,0.2741,4.1597,,,,
603050.SH,科林电气,1.4147,4.1494,,,,
605376.SH,博迁新材,1.5961,4.1220,,,,
002960.SZ,青鸟消防,1.5158,4.1181,,,,
300345.SZ,华民股份,0.8885,4.1037,,,,
600522.SH,中天科技,12.5124,4.0963,,,,
600775.SH,南京熊猫,2.4674,4.0892,,,,
688253.SH,英诺特,0.8012,4.0865,,,,
603520.SH,司太立,3.1268,4.0749,,,,
300566.SZ,激智科技,2.0676,4.0718,,,,
603322.SH,超讯通信,0.8547,4.0593,,,,
688137.SH,近岸蛋白,2.1712,4.0567,,,,
002011.SZ,盾安环境,4.7076,4.0375,,,,
000919.SZ,金陵药业,0.8085,4.0166,,,,
600738.SH,丽尚国潮,0.6723,3.9939,,,,
001259.SZ,利仁科技,2.7607,3.9862,,,,
002484.SZ,江海股份,1.6960,3.9807,,,,
600221.SH,海航控股,3.7107,3.9735,,,,
002084.SZ,海鸥住工,8.2482,3.9683,,,,
603985.SH,恒润股份,4.9996,3.9655,,,,
688391.SH,钜泉科技,2.1301,3.9459,,,,
002823.SZ,凯中精密,3.4617,3.9450,,,,
603863.SH,松炀资源,0.9171,3.9409,,,,
603089.SH,正裕工业,0.6920,3.9333,,,,
831152.BJ,昆工科技,0.8514,3.9292,,,,
000975.SZ,银泰黄金,5.2592,3.9245,,,,
002166.SZ,莱茵生物,3.6958,3.9106,,,,
688066.SH,航天宏图,1.2603,3.9046,,,,
002580.SZ,圣阳股份,6.8495,3.8986,,,,
301128.SZ,强瑞技术,0.5977,3.8889,,,,
301033.SZ,迈普医学,1.4038,3.8865,,,,
000783.SZ,长江证券,3.8637,3.8817,,,,
600721.SH,百花医药,2.8885,3.8781,,,,
600771.SH,广誉远,4.1745,3.8651,,,,
002885.SZ,京泉华,4.4834,3.8536,,,,
603615.SH,茶花股份,0.1062,3.8462,,,,
002843.SZ,泰嘉股份,2.0146,3.8328,,,,
688105.SH,诺唯赞,1.3869,3.8138,,,,
600599.SH,ST熊猫,0.5288,3.8136,,,,
603007.SH,ST花王,0.1888,3.8095,,,,
603811.SH,诚意药业,0.9252,3.7999,,,,
837344.BJ,三元基因,0.0262,3.7975,,,,
002790.SZ,瑞尔特,0.1987,3.7958,,,,
301283.SZ,聚胶股份,1.1116,3.7949,,,,
600861.SH,北京城乡,0.9396,3.7935,,,,
603595.SH,东尼电子,3.5070,3.7783,,,,
300326.SZ,凯利泰,4.0406,3.7736,,,,
600869.SH,远东股份,7.1576,3.7707,,,,
003005.SZ,竞业达,7.2791,3.7598,,,,
301229.SZ,纽泰格,0.8198,3.7580,,,,
000688.SZ,国城矿业,0.8729,3.7545,,,,
600488.SH,天药股份,0.6621,3.7528,,,,
300559.SZ,佳发教育,1.8118,3.7513,,,,
301116.SZ,益客食品,1.0346,3.7453,,,,
000423.SZ,东阿阿胶,2.9244,3.7400,,,,
002729.SZ,好利科技,0.6885,3.7342,,,,
688517.SH,金冠电气,0.2019,3.7331,,,,
300034.SZ,钢研高纳,2.5287,3.7322,,,,
300510.SZ,金冠股份,0.9309,3.7118,,,,
300415.SZ,伊之密,3.8478,3.7020,,,,
600114.SH,东睦股份,1.2261,3.6916,,,,
603922.SH,金鸿顺,0.6638,3.6910,,,,
300584.SZ,海辰药业,1.1621,3.6905,,,,
603687.SH,大胜达,1.1822,3.6842,,,,
605369.SH,拱东医疗,1.5610,3.6735,,,,
002276.SZ,万马股份,2.4377,3.6677,,,,
603229.SH,奥翔药业,3.1436,3.6538,,,,
600552.SH,凯盛科技,2.4179,3.6520,,,,
688275.SH,万润新能,4.8554,3.6485,,,,
600119.SH,长江投资,0.2642,3.6484,,,,
300742.SZ,越博动力,2.1869,3.6258,,,,
603648.SH,畅联股份,0.9710,3.6232,,,,
002641.SZ,公元股份,6.6402,3.6190,,,,
600785.SH,新华百货,1.3172,3.6136,,,,
600521.SH,华海药业,4.2147,3.6054,,,,
603201.SH,常润股份,0.8476,3.5954,,,,
688320.SH,禾川科技,1.9340,3.5444,,,,
688455.SH,科捷智能,0.7599,3.5428,,,,
002787.SZ,华源控股,0.3432,3.5427,,,,
301103.SZ,何氏眼科,1.0416,3.5380,,,,
688239.SH,航宇科技,1.2234,3.5363,,,,
