,ts_code,trade_date,pct_chg,amount
928,002434.SZ,20221111,4.2105,254412.28
24,000031.SZ,20221111,4.2042,82160.526
4150,603789.SH,20221111,4.1852,599485.194
3384,600823.SH,20221111,4.1667,61422.19
3643,601677.SH,20221111,4.161,713921.073
3456,600916.SH,20221111,4.1596,533849.493
2058,300584.SZ,20221111,4.1341,562696.2
17,000023.SZ,20221111,4.1245,192361.625
168,000595.SZ,20221111,4.1147,879362.757
1124,002640.SZ,20221111,4.1131,725751.444
4260,603987.SH,20221111,4.1096,268290.233
46,000063.SZ,20221111,4.1066,1698102.311
580,002080.SZ,20221111,4.1039,471784.981
4,000006.SZ,20221111,4.1026,99659.542
2751,600039.SH,20221111,4.0909,438648.241
406,000955.SZ,20221111,4.0909,121545.072
3498,600988.SH,20221111,4.0786,1850975.966
3432,600879.SH,20221111,4.0785,604340.18
722,002225.SZ,20221111,4.0767,161620.08
332,000838.SZ,20221111,4.065,128541.971
3620,601588.SH,20221111,4.0609,102161.821
4642,688305.SH,20221111,4.0589,193388.249
169,000596.SZ,20221111,4.0572,852789.727
4346,605296.SH,20221111,4.0571,112718.087
3929,603313.SH,20221111,4.0554,80227.937
492,001323.SZ,20221111,4.0541,86949.241
4067,603629.SH,20221111,4.0541,82643.012
364,000897.SZ,20221111,4.0359,123879.547
128,000540.SZ,20221111,4.0268,306355.774
1334,002867.SZ,20221111,4.0197,193024.505
2538,301091.SZ,20221111,4.0189,122573.639
2767,600064.SH,20221111,4.0185,203776.267
799,002304.SZ,20221111,4.0149,1153059.461
1707,300223.SZ,20221111,3.9994,667145.198
4220,603915.SH,20221111,3.9938,104267.013
4352,605318.SH,20221111,3.9841,24836.959
1973,300496.SZ,20221111,3.977,865341.146
691,002193.SZ,20221111,3.9669,61662.986
3738,603016.SH,20221111,3.965,148468.122
2830,600141.SH,20221111,3.9614,941461.97
1613,300124.SZ,20221111,3.9568,1601953.176
40,000056.SZ,20221111,3.9535,166842.3
1843,300363.SZ,20221111,3.9523,2132032.102
909,002415.SZ,20221111,3.94,1937025.804
3009,600362.SH,20221111,3.9365,660148.817
3484,600971.SH,20221111,3.9312,302738.946
2917,600248.SH,20221111,3.9261,145267.098
1649,300161.SZ,20221111,3.9233,221583.08
2845,600162.SH,20221111,3.9106,102436.008
3638,601658.SH,20221111,3.9024,954050.744
4212,603899.SH,20221111,3.8913,255763.62
4058,603612.SH,20221111,3.8903,373668.629
2230,300763.SZ,20221111,3.8836,1049217.636
4226,603922.SH,20221111,3.8817,77595.538
2931,600266.SH,20221111,3.8781,130617.7
