,index,ts_code,trade_date,pct_chg,amount
287,2258,300800.SZ,20221017,5.5511,31628.903
288,1430,002979.SZ,20221017,5.5405,65109.062
289,2604,301185.SZ,20221017,5.5283,79425.424
290,2678,301319.SZ,20221017,5.514,328775.954
291,66,000159.SZ,20221017,5.509,159444.235
292,2847,600186.SH,20221017,5.4902,239567.756
293,4606,688296.SH,20221017,5.4821,20962.853
294,4457,688112.SH,20221017,5.4766,206658.889
295,131,000544.SZ,20221017,5.4711,211567.216
296,4696,688428.SH,20221017,5.4696,397634.511
297,1390,002935.SZ,20221017,5.4691,144369.362
298,4034,603611.SH,20221017,5.4614,68589.691
299,4387,688029.SH,20221017,5.4591,783832.048
300,4109,603737.SH,20221017,5.4545,415402.901
301,2155,300688.SZ,20221017,5.4483,131707.826
302,4343,605378.SH,20221017,5.4444,41910.414
303,4472,688128.SH,20221017,5.4422,34199.856
304,1698,300220.SZ,20221017,5.4397,29795.545
305,4005,603566.SH,20221017,5.417,126464.271
306,211,000661.SZ,20221017,5.4001,3647270.747
307,2187,300722.SZ,20221017,5.389,115351.392
308,476,001270.SZ,20221017,5.3861,308913.539
309,915,002426.SZ,20221017,5.3846,242576.435
310,2020,300551.SZ,20221017,5.3753,209048.272
311,4890,835207.BJ,20221017,5.3503,27597.036
312,4920,838402.BJ,20221017,5.3501,174013.689
313,4371,688011.SH,20221017,5.3432,23930.054
314,4116,603766.SH,20221017,5.336,210757.237
315,4437,688090.SH,20221017,5.3307,35116.271
316,112,000521.SZ,20221017,5.3305,612057.049
317,2898,600246.SH,20221017,5.3228,149758.14
318,4217,603955.SH,20221017,5.3211,78950.957
319,2345,300889.SZ,20221017,5.3208,30918.591
320,1161,002683.SZ,20221017,5.3207,229098.849
321,1337,002877.SZ,20221017,5.3176,59998.356
322,973,002489.SZ,20221017,5.3165,459271.986
323,4267,605068.SH,20221017,5.3075,58035.483
324,928,002439.SZ,20221017,5.3037,565610.001
325,769,002279.SZ,20221017,5.3004,725046.064
326,2097,300629.SZ,20221017,5.2949,225026.29
327,3032,600418.SH,20221017,5.2632,2163549.522
328,2004,300534.SZ,20221017,5.2632,195637.697
329,2018,300549.SZ,20221017,5.2632,22294.092
330,4598,688286.SH,20221017,5.2618,32194.392
331,1332,002871.SZ,20221017,5.2374,291115.899
332,2365,300910.SZ,20221017,5.2344,317329.273
333,177,000606.SZ,20221017,5.2326,13493.066
334,1338,002878.SZ,20221017,5.2283,77480.929
335,2644,301236.SZ,20221017,5.2094,169933.416
336,4807,688699.SH,20221017,5.2045,95842.656
337,4361,688001.SH,20221017,5.1929,70564.679
338,4441,688095.SH,20221017,5.192,68268.797
339,1025,002543.SZ,20221017,5.1906,539245.514
